회사명 : (주) 슬림팩 / 2026/01/01  ~ 2026/01/31 ,,,,,,,,,,
일자-No.,거래처명,품목명(요약),금액합계,거래유형명,창고명,프로젝트명,주문번호,회계반영여부,인쇄,불러온전표
2026/01/17 -3,뉴바이크,이너튜브 20x4.5 & 4.8 1개 외 1건,"103,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260117-0000021,V,인쇄,조회
2026/01/17 -2,전동휠랜드,브레이크 패드 - 2. 텍트로 브레이크 패드 [기종=2. 텍트로 브레이크용] 외 1건,"40,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260117-0000015,V,인쇄,조회
2026/01/17 -1,AS-엑스라이더,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01 [기종=1. 오토바이 브레이크패드 XRB-01] 외 4건,"160,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260117-0000034,V,인쇄,조회
2026/01/16 -11,카페24-엑스라이더,이너튜브 20x4.5 & 4.8 1개 외 1건,"20,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260116-0000031 이인규,V,인쇄,조회
2026/01/16 -10,카페24-엑스라이더,이너튜브 20x4.5 & 4.8 1개 외 1건,"20,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260116-0000082 이한섭,V,인쇄,조회
2026/01/16 -9,카페24-엑스라이더,48V 6A 고속충전기(3핀),"140,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260116-0000077 제주성,V,인쇄,조회
2026/01/16 -8,AS-엑스라이더,듀얼 배터리 스위치(셀렉터) - 48V [기종선택=48V(X200맥스/X100맥스/X200프로/X200S고급형/X200)] 외 5건,"540,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260116-0000063,V,인쇄,조회
2026/01/16 -7,카페24-엑스라이더,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"45,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260116-0000011 이배근/다산,V,인쇄,조회
2026/01/16 -6,전동휠랜드,프론트 포크 유압 서스펜션(KKE) - X200맥스/X200프로/X50/터보프로 외 1건,"455,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260116-0000026,V,인쇄,조회
2026/01/16 -5,뉴바이크,점보 배터리 거치대(배터리 트레이) - 60V(터보프로/X200터보) [기종=60V(터보프로/X200터보)] 외 1건,"104,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260116-0000047,V,인쇄,조회
2026/01/16 -4,카페24-엑스라이더,싱글 스프라켓 외 1건,"15,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260116-0000051 정경훈,V,인쇄,조회
2026/01/16 -3,질주 모빌리티 동래점,클래식 Classic - 매트 블랙 [색상=매트 블랙],"790,000",부가세율 적용,인천창고-위스테이블,대리점-NB-온라인판매,20260115-0000017,V,인쇄,조회
2026/01/16 -2,주식회사 109모빌리티,레트로 Retro - 매트 블랙 [색상=매트 블랙] 외 1건,"5,580,000",부가세율 적용,형동창고-경기도 광주,대리점-NB-기타판매,20260116-0000017 윈터프로모션,V,인쇄,조회
2026/01/15 -10,씨제이그룹 주식회사,컨트롤러 - 터보 프로,"175,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260115-0000081,V,인쇄,조회
2026/01/15 -9,AS-엑스라이더,키박스 디스플레이 스로틀 [X200pro] 외 1건,"90,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260115-0000071,V,인쇄,조회
2026/01/15 -8,AS-니어바이크,디스플레이 BN136 외 8건,,부가세율 적용,본사창고-청담본점,AS-NB,매장사용,V,인쇄,조회
2026/01/15 -7,주식회사 몬바이크(대전점),H 핸들 롱타입 - 블랙 [색상=블랙] 외 1건,"914,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260115-0000026,V,인쇄,조회
2026/01/15 -6,주식회사 몬바이크(대전점),프론트 포크 유압 서스펜션(KKE) - X200맥스/X200프로/X50/터보프로 외 4건,"595,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260115-0000044,V,인쇄,조회
2026/01/15 -5,카페24-엑스라이더,모터 세트(바팡) - X200/NewX100 외 1건,"415,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260115-0000011 정경훈,V,인쇄,조회
2026/01/15 -4,에코바이크,KTX 배터리 거치대(배터리 트레이) - X200프로/X200/X200S고급(XT60) [기종=X200프로/X200/X200S고급(XT60)] 외 7건,"488,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260115-0000057,V,인쇄,조회
2026/01/15 -3,주식회사 온컴퍼니,H 핸들 롱타입 - 블랙 [색상=블랙] 외 2건,"213,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260115-0000068,V,인쇄,조회
2026/01/15 -1,카페24-엑스라이더,엑스라이더 미니 차저 외 1건,"40,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260114-0000075 박명원,V,인쇄,조회
2026/01/14 -7,에이벡,스프린터 Sprinter - 블랙,,부가세율 적용,인천창고-위스테이블,대리점-NB-기타판매,20260113-0000022 잔량,V,인쇄,조회
2026/01/14 -6,코디바이크,점보 배터리 거치대(배터리 트레이) - 60V(터보프로/X200터보) [기종=60V(터보프로/X200터보)] 외 1건,"45,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260114-0000023,V,인쇄,조회
2026/01/14 -5,코지모빌리티,일자 그립 외 3건,"64,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260114-0000032,V,인쇄,조회
2026/01/14 -4,카페24-엑스라이더,52T 크랭크 세트 외 1건,"45,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260114-0000049 노건민,V,인쇄,조회
2026/01/14 -2,AS-엑스라이더,브레이크 패드 - 3. XOD 브레이크 패드 [기종=3. XOD 브레이크 패드] 외 3건,"225,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260114-0000065,V,인쇄,조회
2026/01/13 -13,카페24-엑스라이더,헤드라이트 - 미니 프로 / 미니 외 1건,"-45,500",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260113-0000091 전두수,V,인쇄,조회
2026/01/13 -12,카페24-엑스라이더,수납가방 - X200맥스,"120,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260113-0000087 나지훈,V,인쇄,조회
2026/01/13 -11,카페24-엑스라이더,DC to 3핀 변환 젠더 케이블 외 2건,"60,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260113-0000101 손찬규,V,인쇄,조회
2026/01/13 -10,카페24-엑스라이더,3핀 to DC 변환 젠더 케이블 외 1건,"145,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260113-0000076 이지훈,V,인쇄,조회
2026/01/13 -9,카페24-엑스라이더,엑스라이더 미니 차저 외 1건,"40,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260113-0000068 문광석,V,인쇄,조회
2026/01/13 -8,카페24-엑스라이더,헤드라이트 - 미니 프로 / 미니 외 1건,"45,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260113-0000091 전두수,V,인쇄,조회
2026/01/13 -7,카페24-엑스라이더,듀얼 배터리 스위치(셀렉터) - 60V [기종선택=60V(터보프로/X200T)],"50,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260113-0000045 문광식,V,인쇄,조회
2026/01/13 -6,두발이모빌리티,키박스 디스플레이 스로틀 [기종을 적어주세요=x200],,부가세율 적용,본사창고-청담본점,대리점-XRB-기타판매,20260113-0000025,V,인쇄,조회
2026/01/13 -5,승리모터스,[레트로 미니/카고] 그립 세트 외 4건,"184,000",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260113-0000014,V,인쇄,조회
2026/01/13 -4,에코바이크,XT90 to XT60 젠더 세트(암수 다름) [기종(필수)=터보프로/X200터보(XT90단자)] 외 4건,"346,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260113-0000038,V,인쇄,조회
2026/01/13 -3,씨제이그룹 주식회사,헤드라이트 홀더(KKE) - X200맥스/X100맥스/X200듀오/X200프로/터보프로/X100프로 외 6건,"453,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260113-0000018,V,인쇄,조회
2026/01/13 -2,스마트할부(토스)-니어바이크,카고 Cargo - 그레이,"1,927,200",부가세율 적용,인천창고-위스테이블,일반-NB-온라인판매,20260113-0000039,V,인쇄,조회
2026/01/13 -1,AS-엑스라이더,컬러 킥스탠드 블랙 [색상=블랙] 외 12건,"410,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260113-0000053,V,인쇄,조회
2026/01/12 -15,카페24-엑스라이더,엑스라이더 360도 자전거 핸드폰 거치대 외 1건,"40,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260112-0000109 박호영,V,인쇄,조회
2026/01/12 -14,씨제이그룹 주식회사,엑스라이더 360도 자전거 핸드폰 거치대 외 7건,"748,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260112-0000067,V,인쇄,조회
2026/01/12 -12,카페24-엑스라이더,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01 [기종=1. 오토바이 브레이크패드 XRB-01] 외 2건,"50,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260112-0000082 노건민,V,인쇄,조회
2026/01/12 -11,에코바이크,48V 6A 고속충전기(3핀) 외 1건,"136,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260112-0000093,V,인쇄,조회
2026/01/12 -8,질주 모빌리티 동래점,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01 외 1건,"57,500",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260111-0000018,V,인쇄,조회
2026/01/12 -6,알톤자전거 서부산 직영점,방향지시등 세트,"165,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260112-0000011,V,인쇄,조회
2026/01/12 -5,AS-엑스라이더,[스프린터] 프레임 - 블랙 [색상=블랙],,부가세율 적용,본사창고-청담본점,AS-NB,20260112-0000015,V,인쇄,조회
2026/01/12 -3,AS-소영석부장,KTET 리어 브레이크 래버,,부가세율 적용,본사창고-청담본점,AS-XRB,20260112-0000028,V,인쇄,조회
2026/01/12 -2,AS-소영석부장,H 핸들바 - 블랙 [색상=블랙],,부가세율 적용,본사창고-청담본점,AS-XRB,20260112-0000037,V,인쇄,조회
2026/01/12 -1,코지모빌리티,엑스라이더 X100 Max - 블랙,"1,940,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260112-0000044,V,인쇄,조회
2026/01/11 -2,카페24-엑스라이더,컬러 킥스탠드 블랙 [색상=블랙] 외 2건,"60,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260111-0000021 이승훈,V,인쇄,조회
2026/01/11 -1,AS-엑스라이더,엑스라이더 360도 자전거 핸드폰 거치대 외 2건,"80,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260111-0000011,V,인쇄,조회
2026/01/10 -6,카페24-엑스라이더,헤드라이트 링 아답터 - X200맥스/X100맥스/X200듀오/X200프로/터보프로/X100프로 외 1건,"45,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260110-0000032 처음처럼 오창보,V,인쇄,조회
2026/01/10 -5,카페24-엑스라이더,리어 브레이크 세트 4P - 터보 프로 외 3건,"210,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260110-0000040 김유진 김명길,V,인쇄,조회
2026/01/10 -4,AS-엑스라이더,"미니 점보 배터리 거치대(XT60 케이블 포함, 배터리 트레이) - X100맥스 [기종=X100맥스]",,부가세율 적용,본사창고-청담본점,AS-XRB,20260110-0000024,V,인쇄,조회
2026/01/10 -3,코지모빌리티,"배터리 케이스(20Ah용, 스티커 포함, NB)",,부가세율 적용,본사창고-청담본점,AS-NB,20260110-0000016,V,인쇄,조회
2026/01/10 -2,AS-니어바이크,[클래식] 컨트롤러,,부가세율 적용,본사창고-청담본점,AS-NB,20260110-0000023 안중호 워런티,V,인쇄,조회
2026/01/10 -1,두발이모빌리티,메인 케이블 세트 - X200맥스/X100맥스/X200듀오/X200프로/터보프로/X100 프로 외 1건,"47,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260110-0000012,V,인쇄,조회
2026/01/09 -12,카페24-엑스라이더,이너튜브 20x4.0 1개 외 1건,"20,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260109-0000064 정경훈,V,인쇄,조회
2026/01/09 -11,AS-엑스라이더,컨트롤러 - X200 고급형(S) 외 10건,"480,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260109-0000056,V,인쇄,조회
2026/01/09 -10,코지모빌리티,[레트로/레트로 미니] 리어렉(짐받이),"180,000",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260109-0000034,V,인쇄,조회
2026/01/09 -9,와이제이(YJ) 모터스,점보 케이스(디자인) - 유광블랙 [색상=유광 블랙],"72,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260109-0000042,V,인쇄,조회
2026/01/09 -8,카페24-엑스라이더,컬러 리어렉 블랙 [색상=블랙],"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260108-0000071 조영식,V,인쇄,조회
2026/01/09 -7,109모빌리티&킥플 평택점,48V 6A 고속충전기(3핀) 외 1건,"158,000",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260109-0000024,V,인쇄,조회
2026/01/09 -6,109모빌리티&킥플 평택점,레트로 Retro - 매트 블랙 [색상=매트 블랙],"1,280,000",부가세율 적용,형동창고-경기도 광주,대리점-NB-온라인판매,20260109-0000024,V,인쇄,조회
2026/01/09 -5,주식회사 바이크셀링,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"29,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260109-0000024,V,인쇄,조회
2026/01/09 -4,주식회사 바이크셀링,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"29,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260109-0000033,V,인쇄,조회
2026/01/09 -3,에이벡,스프린터 5대건(12-31출고분),"3,600,000",부가세율 적용,본사창고-청담본점,대리점-XRB-기타판매,,V,인쇄,조회
2026/01/09 -2,에이벡,스프린터 4대건(12-23출고분),"2,880,000",부가세율 적용,본사창고-청담본점,대리점-XRB-기타판매,,V,인쇄,조회
2026/01/09 -1,에이벡,26년 1차 프리오더 선수금,"25,590,000",부가세율 적용,본사창고-청담본점,대리점-XRB-기타판매,,V,인쇄,조회
2026/01/08 -12,스마트스토어(네이버)-니어바이크,스프린터 Sprinter - 어반 그레이 외 1건,"1,730,000",부가세율 적용,본사창고-청담본점,일반-NB-온라인판매,2025122590206311 윤동현,V,인쇄,조회
2026/01/08 -10,AS-엑스라이더,DC to 3핀 변환 젠더 케이블 외 3건,"50,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260108-0000065,V,인쇄,조회
2026/01/08 -9,지티아이에스(GTIS),점보 배터리 거치대(배터리 트레이) - 60V(터보프로/X200터보) [기종=60V(터보프로/X200터보)] 외 1건,,부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260108-0000051,V,인쇄,조회
2026/01/08 -8,휠 윈드 바이시클,스로틀 스위치 외 1건,"812,500",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260107-0000013,V,인쇄,조회
2026/01/08 -7,카페24-엑스라이더,서클 헤드라이트 외 1건,"85,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260107-0000094 처음처럼 오창보,V,인쇄,조회
2026/01/08 -6,카페24-엑스라이더,유성기어 - X200맥스/X100프로/X200프로/X50 [기종=X200맥스/X200 프로/X100 프로] 외 1건,"55,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260108-0000019 문수영,V,인쇄,조회
2026/01/08 -5,카페24-니어바이크,레트로 Retro - 매트 블랙 [색상=매트 블랙] 외 1건,"1,690,000",부가세율 적용,본사창고-청담본점,일반-NB-온라인판매,20260108-0000046 주정훈,V,인쇄,조회
2026/01/08 -4,주시회사 자전거총각,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"53,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260107-0000080,V,인쇄,조회
2026/01/08 -3,코디바이크,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"29,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260108-0000035,V,인쇄,조회
2026/01/08 -2,주식회사 바이크셀링,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"29,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260108-0000047,V,인쇄,조회
2026/01/07 -9,AS-엑스라이더,디스크 로터 텍트로 - 180E 1.8mm X200프로/X100프로/X50 [기종=2. 텍트로 브레이크용] 외 11건,"910,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260107-0000073,V,인쇄,조회
2026/01/07 -8,AS-엑스라이더,컬러 킥스탠드 블랙 [색상=블랙] 외 9건,"275,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260107-0000068,V,인쇄,조회
2026/01/07 -7,카페24-엑스라이더,시트리프트(안장높이조절) - 프로 시리즈 / X200 시리즈,"120,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260107-0000034 권수남,V,인쇄,조회
2026/01/07 -6,가나스포츠 덕정점,소프트 롱시트 - X200맥스/X200프로/X200/X200S고급 외 1건,"103,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260107-0000058,V,인쇄,조회
2026/01/07 -5,카페24-엑스라이더,이너튜브 20x4.5 & 4.8 1개 외 1건,"20,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260106-0000088 장세진,V,인쇄,조회
2026/01/07 -4,카페24-니어바이크,[카고] 튜브 20x3.0 외 2건,"47,000",부가세율 적용,본사창고-청담본점,일반-NB-온라인판매,20260106-0000012 조찬우,V,인쇄,조회
2026/01/07 -3,카페24-엑스라이더,컬러 킥스탠드 레드 [색상=레드] 외 1건,"55,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260106-0000091 민수인,V,인쇄,조회
2026/01/07 -2,에코바이크,48V 35Ah 점보 배터리 - 무광블랙 [색상=무광 블랙],"858,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260107-0000019,V,인쇄,조회
2026/01/07 -1,카페24-엑스라이더,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로,"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260107-0000021 기종환,V,인쇄,조회
2026/01/06 -14,전주 전기자전거 백프로 모빌리티,수납가방 - X200맥스 외 2건,"650,600",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260105-0000017,V,인쇄,조회
2026/01/06 -13,주식회사 온컴퍼니,컨트롤러 - 터보 프로,"175,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260105-0000077,V,인쇄,조회
2026/01/06 -12,가나스포츠 덕정점,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50] 외 2건,"138,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260105-0000089,V,인쇄,조회
2026/01/06 -11,와이제이(YJ) 모터스,점보 배터리 거치대(배터리 트레이) - 60V(터보프로/X200터보) [기종=60V(터보프로/X200터보)] 외 1건,"104,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260105-0000108,V,인쇄,조회
2026/01/06 -10,에코바이크,디스크 로터 텍트로 - 180E 1.8mm X200프로/X100프로/X50 [기종=2. 텍트로 브레이크용] 외 3건,"292,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260105-0000118,V,인쇄,조회
2026/01/06 -9,카페24-엑스라이더,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로,"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260105-0000121 배정근,V,인쇄,조회
2026/01/06 -8,카페24-엑스라이더,60V 25Ah 점보 배터리 - 무광블랙 [색상=무광 블랙(기본)],"1,000,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260105-0000131 정진광,V,인쇄,조회
2026/01/06 -7,카페24-엑스라이더,60V 2A 일반충전기(DC) [기종=DC단자(터보프로/X200 터보)] 외 1건,"60,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260105-0000147 식 신광식,V,인쇄,조회
2026/01/06 -6,주식회사 온컴퍼니,컨트롤러 - X200 프로 / X100 프로(플러그) 외 1건,"963,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260106-0000015,V,인쇄,조회
2026/01/06 -5,카페24-엑스라이더,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"45,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260106-0000026 김동완,V,인쇄,조회
2026/01/06 -4,주식회사 바이크셀링,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"29,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260106-0000031,V,인쇄,조회
2026/01/06 -3,카페24-엑스라이더,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"45,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260106-0000048 이준우,V,인쇄,조회
2026/01/06 -2,AS-소영석부장,컬러 킥스탠드 블랙 [색상=블랙],,부가세율 적용,본사창고-청담본점,AS-XRB,20260106-0000052 청주 유로휠,V,인쇄,조회
2026/01/06 -1,지티아이에스(GTIS),"컨트롤러(New Line) - X200맥스, X100맥스, X200프로","105,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260106-0000064,V,인쇄,조회
2026/01/05 -23,AS-엑스라이더,이너튜브 20x4.5 & 4.8 1개 외 7건,"350,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260105-0000091,V,인쇄,조회
2026/01/05 -22,카페24-엑스라이더,이너튜브 20x4.5 & 4.8 1개,,부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260105-0000054 정진욱 카페24 적립금사용,V,인쇄,조회
2026/01/05 -21,카페24-엑스라이더,3핀 to DC 변환 젠더 케이블 외 1건,"145,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260101-0000018 이유선,V,인쇄,조회
2026/01/05 -20,카페24-니어바이크,"KTET 프론트 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [기종을 적어주세요=니어바이크 레트로] 외 1건","160,000",부가세율 적용,본사창고-청담본점,일반-NB-온라인판매,20260101-0000015 송영수,V,인쇄,조회
2026/01/05 -19,카페24-엑스라이더,소프트 롱시트 - X200맥스/X200프로/X200/X200S고급 외 1건,"160,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260101-0000028 배동환,V,인쇄,조회
2026/01/05 -18,두발이모빌리티,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50] 외 2건,"72,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260102-0000018,V,인쇄,조회
2026/01/05 -17,와이제이(YJ) 모터스,[레트로/레트로 미니] 리어렉(짐받이),"60,000",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260102-0000013,V,인쇄,조회
2026/01/05 -16,코지모빌리티,디펜더 라이트 [상품(필수)=디펜더라이트] 외 1건,"70,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260102-0000027,V,인쇄,조회
2026/01/05 -15,두발이모빌리티,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"122,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260102-0000031,V,인쇄,조회
2026/01/05 -14,두발이모빌리티,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50],"24,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260102-0000044,V,인쇄,조회
2026/01/05 -13,일렉트로휠,48V 6A 고속충전기(3핀) 외 1건,"103,000",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260102-0000021,V,인쇄,조회
2026/01/05 -12,카페24-엑스라이더,52T 크랭크 세트 외 2건,"70,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260103-0000015 신준영,V,인쇄,조회
2026/01/05 -11,카페24-엑스라이더,이너튜브 20x4.5 & 4.8 1개 외 1건,,부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260104-0000013 김승겸,V,인쇄,조회
2026/01/05 -10,카페24-엑스라이더,점보 케이스(디자인) - 유광블랙 [색상=유광 블랙] 외 1건,"180,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260104-0000022 한용희,V,인쇄,조회
2026/01/05 -9,카페24-엑스라이더,텍트로 프론트 브레이크 세트 - X200 프로,"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260104-0000039 김기원,V,인쇄,조회
2026/01/05 -8,카페24-엑스라이더,48V 6A 고속충전기(3핀),"140,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260104-0000049 이권주,V,인쇄,조회
2026/01/05 -7,씨제이그룹 주식회사,프론트 엑슬 - X200맥스/X100맥스/X200듀오/X200프로/X100프로/X50 외 4건,"1,100,600",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260105-0000024,V,인쇄,조회
2026/01/05 -6,씨제이그룹 주식회사,스로틀 스위치 외 1건,"1,347,500",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260105-0000027,V,인쇄,조회
2026/01/05 -5,주식회사 바이크셀링,컬러 킥스탠드 블랙 [색상=블랙] 외 1건,"29,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260105-0000037,V,인쇄,조회
2026/01/05 -4,바이시클스토리지,스프린터 Sprinter - 어반 그레이 [색상=어반 그레이],"3,600,000",부가세율 적용,인천창고-위스테이블,대리점-NB-기타판매,20260105-0000039 윈터프로모션건,V,인쇄,조회
2026/01/05 -3,에이벡,스프린터 Sprinter - 블랙 [색상=블랙] 외 1건,"11,400,000",부가세율 적용,인천창고-위스테이블,대리점-NB-기타판매,20260105-0000046 잔여 재고 구입건,V,인쇄,조회
2026/01/05 -2,코지모빌리티,[레트로/레트로 미니] 리어렉(짐받이),"120,000",부가세율 적용,본사창고-청담본점,대리점-NB-온라인판매,20260105-0000055,V,인쇄,조회
2026/01/05 -1,전동핫플 금정점,소프트 톨시트 블랙 - X200맥스/X200프로/터보프로/X200/X200S고급 [기종을 적어주세요=X200 MAX],"294,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260105-0000061,V,인쇄,조회
2026/01/01 -1,코디바이크,개인결제건 외 1건,"7,376,800",부가세율 적용,기타,대리점-XRB-기타판매,20251231-0000078,V,인쇄,조회
2026/04/12 (일) 오전 12:17:46,,,,,,,,,,
