회사명 : (주) 슬림팩 / 2025/01/01  ~ 2025/12/31 ,,,,,,,,,,
일자-No.,품목명(규격),수량,단가,공급가액,부가세,합계,거래처명,창고명,프로젝트명,주문번호
2025/12/12 -4,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50],1,,,,,판매-청담본점-엑스라이더,본사창고-청담본점,일반-XRB-일반판매,20251212-0000048 이인서
2025/12/12 -4,엑스라이더 360도 자전거 핸드폰 거치대,1,,,,,판매-청담본점-엑스라이더,본사창고-청담본점,일반-XRB-일반판매,20251212-0000048 이인서
2025/12/12 -4,엑스라이더 X200 Pro - 블랙,1,"2,718,182","2,718,182","271,818","2,990,000",판매-청담본점-엑스라이더,본사창고-청담본점,일반-XRB-일반판매,20251212-0000048 이인서
2025/12/12 -4,48V 2A 일반충전기(3핀),1,"54,545","54,545","5,455","60,000",판매-청담본점-엑스라이더,본사창고-청담본점,일반-XRB-일반판매,20251212-0000048 이인서
2025/12/12 -4,KTX 배터리 거치대(배터리 트레이) - X50(XT60),1,"36,364","36,364","3,636","40,000",판매-청담본점-엑스라이더,본사창고-청담본점,일반-XRB-일반판매,20251212-0000048 이인서
2025/12/12 -5,점보 배터리 거치대(배터리 트레이) - 48V(X200프로/X200S/고급형/X200 [기종=48V(X200프로/X200S/고급형/X200],1,"45,455","45,455","4,545","50,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251212-0000032
2025/12/12 -5,택배비,1,"5,000","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251212-0000032
2025/12/12 -6,3핀 to DC 변환 젠더 케이블,1,"4,545","4,545",455,"5,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251212-0000059
2025/12/12 -6,48V 6A 고속충전기(3핀),1,"127,273","127,273","12,727","140,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251212-0000059
2025/12/12 -6,수납가방 - X200맥스,1,"109,091","109,091","10,909","120,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251212-0000059
2025/12/12 -6,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01 [기종=1. 오토바이 브레이크패드 XRB-01],1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251212-0000059
2025/12/12 -6,브레이크 패드 - 2. 텍트로 브레이크 패드 [기종=2. 텍트로 브레이크 패드],1,"18,182","18,182","1,818","20,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251212-0000059
2025/12/12 -6,패드 교체-공임,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251212-0000059
2025/12/12 -6,패드 교체-공임,1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251212-0000059
2025/12/12 -6,기본점검-공임,1,"27,273","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251212-0000059
2025/12/12 -7,H 핸들바 - 블랙 [색상=블랙],1,"50,909","50,909","5,091","56,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,방향지시등 세트,1,"50,000","50,000","5,000","55,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,디펜더 라이트 [상품(필수)=디펜더라이트],1,"59,091","59,091","5,909","65,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,디펜더 라이트 [기종(필수)=3핀(X200프로/X200고급형/X200S/X200/터보프로/X100프로/New X100/X200터보) (P0000JKB000D)],1,,,,,첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,프론트 브레이크 세트 4P - 터보 프로,1,"76,364","76,364","7,636","84,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,리어 브레이크 세트 4P - 터보 프로,1,"76,364","76,364","7,636","84,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,엑스라이더 미니 차저,1,"22,727","22,727","2,273","25,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로,1,"59,091","59,091","5,909","65,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,카본 스타일 머드가드 - 프로 시리즈 / X200 시리즈,1,"43,636","43,636","4,364","48,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,KKE 포크가드 세트 - X200프로/터보프로/X50,1,"12,727","12,727","1,273","14,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,BB 풋페그 - 터보프로/X200T,1,"28,636","28,636","2,864","31,500",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/12 -7,일자 그립,1,"9,091","9,091",909,"10,000",첼로와 삼천리자전거 송산그린시티점,본사창고-청담본점,대리점-XRB-온라인판매,20251212-0000079
2025/12/13 -1,방향지시등 세트,1,"90,909","90,909","9,091","100,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251213-0000027
2025/12/13 -1,"기타 공임-10,000",3,"9,091","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251213-0000027
2025/12/13 -2,소프트 숏시트 블랙 - X100맥스,1,"60,000","60,000","6,000","66,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251213-0000017
2025/12/13 -2,방향지시등 세트,1,"50,000","50,000","5,000","55,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251213-0000017
2025/12/14 -1,LG KTX 배터리팩 48V 20Ah,1,"609,091","609,091","60,909","670,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251214-0000028 박상철
2025/12/14 -1,DC to 3핀 변환 젠더 케이블,1,"4,545","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251214-0000028 박상철
2025/12/15 -1,유성기어 - 미니 리어 [기종=미니-리어용],1,,,,,AS-소영석부장,본사창고-청담본점,AS-XRB,20251215-0000026
2025/12/15 -2,[카고] 프론트 림 20 휠 세트(엑슬 포함),1,"68,182","68,182","6,818","75,000",주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-온라인판매,20251215-0000017
2025/12/15 -2,[카고] 프론트 포크,1,"68,182","68,182","6,818","75,000",주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-온라인판매,20251215-0000017
2025/12/15 -3,이너튜브 20x4.5 & 4.8 1개,4,"7,500","30,000","3,000","33,000",가나스포츠 덕정점,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000013
2025/12/15 -3,택배비,1,"5,000","4,545",455,"5,000",가나스포츠 덕정점,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000013
2025/12/15 -4,컬러 머드가드 세트 레드 - X200맥스 [색상=레드],1,"35,455","35,455","3,545","39,000",코지모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000035
2025/12/15 -4,택배비,1,"5,000","4,545",455,"5,000",코지모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000035
2025/12/15 -5,페달 세트,1,"22,727","22,727","2,273","25,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000076
2025/12/15 -5,엑스라이더 360도 자전거 핸드폰 거치대,1,"31,818","31,818","3,182","35,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000076
2025/12/15 -5,이너튜브 20x4.5 & 4.8 1개,1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000076
2025/12/15 -5,체인 - X200프로/터보프로/X200/X200S고급/X200T [기종=X200프로/터보프로/X200/X200S고급/X200T],1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000076
2025/12/15 -5,브레이크 패드 - 3. XOD 브레이크 패드 [기종=3. XOD 브레이크 패드],2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000076
2025/12/15 -5,브레이크 패드 - 2. 텍트로 브레이크 패드 [기종=2. 텍트로 브레이크 패드],2,"18,182","36,364","3,636","40,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000076
2025/12/15 -5,리어 튜브 교체-공임,1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000076
2025/12/15 -5,패드 교체-공임,4,"13,636","54,545","5,455","60,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000076
2025/12/15 -6,유성기어 - X200맥스/X100프로/X200프로/X50 [기종=X200맥스/X200 프로/X100 프로],1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000060
2025/12/15 -6,수납가방 L - X200듀오/X200프로/터보프로,1,"109,091","109,091","10,909","120,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000060
2025/12/15 -6,풋페그 세트(2인승차 발판) [기종=X200맥스/X100프로/X200프로/터보프로/X200/X200고급형/X50],1,"18,182","18,182","1,818","20,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000060
2025/12/15 -6,불렛 헤드라이트 - X200맥스/X100맥스/X200듀오/X200프로/터보프로/X100프로,1,"90,909","90,909","9,091","100,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000060
2025/12/15 -6,소프트 톨시트 블랙 - X200맥스/X200프로/터보프로/X200/X200S고급 [기종을 적어주세요=X200pro],1,"127,273","127,273","12,727","140,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000060
2025/12/15 -6,브레이크 패드 - 2. 텍트로 브레이크 패드 [기종=2. 텍트로 브레이크 패드],2,"18,182","36,364","3,636","40,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000060
2025/12/15 -6,유성기어 교체-공임,1,"90,909","90,909","9,091","100,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000060
2025/12/15 -6,패드 교체-공임,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251215-0000060
2025/12/15 -7,DC to 3핀 변환 젠더 케이블,1,"4,545","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251215-0000059 조연민
2025/12/15 -7,택배비,1,"5,000","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251215-0000059 조연민
2025/12/15 -8,"KTET 프론트 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=프론트 브레이크 세트]",2,"50,909","101,818","10,182","112,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000041
2025/12/15 -10,"KTET 리어 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=오토바이 리어 브레이크 세트]",2,"50,909","101,818","10,182","112,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000041
2025/12/15 -10,48V 6A 고속충전기(3핀),1,"89,091","89,091","8,909","98,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000041
2025/12/15 -10,48V 2A 일반충전기(DC) [기종=3핀],2,"38,182","76,364","7,636","84,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000041
2025/12/15 -10,"미니 점보 배터리 거치대(XT60 케이블 포함, 배터리 트레이) - X200맥스 [기종=X200맥스]",2,"36,364","72,727","7,273","80,000",에코바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251215-0000041
2025/12/16 -1,엑스라이더 멀티박스 [상품(필수)=멀티박스],1,"95,455","95,455","9,545","105,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251216-0000023
2025/12/16 -4,스프린터 Sprinter - 블랙,4,"654,545","2,618,182","261,818","2,880,000",주식회사 온컴퍼니,인천창고-위스테이블,대리점-NB-기타판매,20251216-0000015
2025/12/16 -4,스프린터 Sprinter - 어반 그레이,1,"654,545","654,545","65,455","720,000",주식회사 온컴퍼니,인천창고-위스테이블,대리점-NB-기타판매,20251216-0000015
2025/12/16 -5,컬러 킥스탠드 블랙 [색상=블랙],5,"21,818","109,091","10,909","120,000",전동핫플 금정점,본사창고-청담본점,대리점-XRB-온라인판매,20251216-0000016
2025/12/16 -6,이너튜브 20x4.5 & 4.8 1개,1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251216-0000043
2025/12/16 -6,컬러 머드가드 세트 블랙 - X200맥스 [색상=블랙],1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251216-0000043
2025/12/16 -6,체인 - X200프로/터보프로/X200/X200S고급/X200T [기종=X200프로/터보프로/X200/X200S고급/X200T],1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251216-0000043
2025/12/16 -6,컨트롤러 - X200 프로 / X100 프로(플러그),1,"136,364","136,364","13,636","150,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251216-0000043
2025/12/16 -6,리어 튜브 교체-공임,1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251216-0000043
2025/12/16 -6,기본점검-공임,1,"27,273","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251216-0000043
2025/12/16 -6,헤드셋 보울 세트,1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251216-0000043
2025/12/16 -7,48V 35Ah 점보 배터리 - 레드 [색상=레드],1,"780,000","780,000","78,000","858,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251216-0000032
2025/12/16 -7,듀얼 배터리 스위치(셀렉터) - 48V,1,,,,,와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251216-0000032
2025/12/17 -1,블레이드 - 메탈 그레이,5,,,,,주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-기타판매,20251217-0000012 윈터프로모션
2025/12/17 -2,리어 모터 - 미니 프로 / 미니,1,"159,091","159,091","15,909","175,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000057
2025/12/17 -2,모터 세트 - X200듀오/X200프로/X100프로/X50,1,"254,545","254,545","25,455","280,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000057
2025/12/17 -2,프론트 림 베어링 세트 X200맥스/X100맥스/X200프로/X50,2,,,,,와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000057
2025/12/17 -2,방향지시등 세트,2,"50,000","100,000","10,000","110,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000057
2025/12/17 -3,"유성기어 - X200/New X100(바팡, 500W) [기종=X200/뉴 X100(바팡)]",1,"57,273","57,273","5,727","63,000",코디바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251217-0000051
2025/12/17 -3,택배비,1,"5,000","4,545",455,"5,000",코디바이크,본사창고-청담본점,대리점-XRB-온라인판매,20251217-0000051
2025/12/17 -4,48V 2A 일반충전기(3핀) [기종=3핀],1,"54,545","54,545","5,455","60,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251217-0000011 정연승
2025/12/17 -4,택배비,1,"5,000","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251217-0000011 정연승
2025/12/17 -4,3핀 to DC 변환 젠더 케이블,1,,,,,카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251217-0000011 정연승
2025/12/17 -5,디펜더 라이트 [상품(필수)=디펜더라이트],1,"90,909","90,909","9,091","100,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251217-0000068
2025/12/17 -5,엑스라이더 미니 차저,1,"31,818","31,818","3,182","35,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251217-0000068
2025/12/17 -5,디펜더 라이트 [기종(필수)=3핀(X200프로/X200고급형/X200S/X200/터보프로/X100프로/New X100/X200터보) (P0000JKB000D)],1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251217-0000068
2025/12/17 -5,"기타 공임-10,000",1,"38,182","38,182","3,818","42,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251217-0000068
2025/12/17 -5,기본점검-공임,1,"27,273","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251217-0000068
2025/12/17 -5,"기타 공임-10,000",1,"22,727","22,727","2,273","25,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251217-0000068
2025/12/17 -6,컬러 킥스탠드 블랙 [색상=블랙],1,"36,364","36,364","3,636","40,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251217-0000072 김경환
2025/12/17 -6,택배비,1,"5,000","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251217-0000072 김경환
2025/12/18 -1,듀얼 배터리 스위치(셀렉터) - 60V,1,"45,455","45,455","4,545","50,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251218-0000044 김기섭
2025/12/18 -1,택배비,1,"4,545","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251218-0000044 김기섭
2025/12/18 -2,브레이크 패드 - 5. 페스트에이스 브레이크 패드,4,"13,636","54,545","5,455","60,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251218-0000023 박정호
2025/12/18 -2,컬러 킥스탠드 블랙,1,"36,364","36,364","3,636","40,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251218-0000023 박정호
2025/12/18 -3,"디스크 로터 KTET - 180E, 3mm [기종=1. 오토바이 브레이크용]",1,,,,,주식회사 온컴퍼니,본사창고-청담본점,AS-XRB,20251218-0000016
2025/12/18 -4,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로,2,"59,091","118,182","11,818","130,000",주식회사 몬바이크(대전점),본사창고-청담본점,대리점-XRB-온라인판매,20251218-0000036
2025/12/18 -4,컬러 리어렉 블랙 [색상=블랙],2,"59,091","118,182","11,818","130,000",주식회사 몬바이크(대전점),본사창고-청담본점,대리점-XRB-온라인판매,20251218-0000036
2025/12/18 -6,이너튜브 20x4.5 & 4.8 1개,1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251218-0000065
2025/12/18 -6,체인 - X200프로/터보프로/X200/X200S고급/X200T [기종=X200프로/터보프로/X200/X200S고급/X200T],1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251218-0000065
2025/12/18 -6,체인 교체 / 페달 교체-공임,1,"9,091","9,091",909,"10,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251218-0000065
2025/12/18 -6,리어 튜브 교체-공임,1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251218-0000065
2025/12/18 -7,소프트 시트 - X200맥스/X200프로/터보프로/X200/X200S고급 [기종을 적어주세요=타회사제품],1,"109,091","109,091","10,909","120,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251218-0000059 김경환
2025/12/18 -8,스프린터 Sprinter - 블랙 [색상=블랙],1,"863,636","863,636","86,364","950,000",에이벡,인천창고-위스테이블,대리점-NB-온라인판매,20251218-0000016
2025/12/19 -2,"디스크 로터 KTET - 180E, 3mm [기종=1. 오토바이 브레이크용]",2,"12,727","25,455","2,545","28,000",주식회사 온컴퍼니,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000047
2025/12/19 -2,택배비,1,"5,000","4,545",455,"5,000",주식회사 온컴퍼니,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000047
2025/12/19 -7,KTET 리어 브레이크 래버,1,"22,273","22,273","2,227","24,500",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000031
2025/12/19 -7,택배비,1,"5,000","4,545",455,"5,000",씨제이그룹 주식회사,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000031
2025/12/19 -8,프론트 림 - X200맥스/X100맥스/X200듀오/X200프로/X100프로,1,"63,636","63,636","6,364","70,000",코지모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000024
2025/12/19 -8,택배비,1,"5,000","4,545",455,"5,000",코지모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251219-0000024
2025/12/19 -9,소프트 숏시트 블랙 - X100맥스,1,"109,091","109,091","10,909","120,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251219-0000016 문광석
2025/12/19 -10,20Ah KTX 배터리(NB),1,"436,364","436,364","43,636","480,000",주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-온라인판매,20251219-0000011
2025/12/19 -10,"배터리 거치대(라인 없음, NB)",1,"40,909","40,909","4,091","45,000",주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-온라인판매,20251219-0000011
2025/12/19 -10,[카고LT/카고/블레이드FS/블레이드] 헤드라이트(전조등),1,"34,091","34,091","3,409","37,500",주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-온라인판매,20251219-0000011
2025/12/19 -10,[레트로 미니/카고] 크랭크 세트 52T,1,"27,273","27,273","2,727","30,000",주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-온라인판매,20251219-0000011
2025/12/19 -11,브레이크 패드 - 2. 텍트로 브레이크 패드 [기종=2. 텍트로 브레이크 패드],2,"18,182","36,364","3,636","40,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,듀얼 배터리 스위치(셀렉터) - 60V [기종선택=60V(터보프로/X200T)],1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,딜리버리렉 - X200맥스/X100맥스/X200듀오/X200프로/터보프로,1,"90,909","90,909","9,091","100,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,KTET 프론트 브레이크 래버,1,"31,818","31,818","3,182","35,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,컬러 킥스탠드 블랙 [색상=블랙],1,"36,364","36,364","3,636","40,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,체인 - X200프로/터보프로/X200/X200S고급/X200T [기종=X200프로/터보프로/X200/X200S고급/X200T],1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,수납가방 L - X200듀오/X200프로/터보프로,1,"109,091","109,091","10,909","120,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,싱글 스프라켓,1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,"컨트롤러(New Line) - X200맥스, X100맥스, X200프로",1,"136,364","136,364","13,636","150,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,프론트 엑슬 - X200맥스/X100맥스/X200듀오/X200프로/X100프로/X50,1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,모터 세트(New Line) - X200맥스/X100맥스/X200듀오/X200프로/X100프로,1,"363,636","363,636","36,364","400,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,브레이크 래버 교체-공임,1,"18,182","18,182","1,818","20,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,패드 교체-공임,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,"기본 점검(나사조임, 조향성, 브레이크 상태)-공임",1,"27,273","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,멀티박스/미니차저 장착-공임,1,"27,273","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -11,블리딩(좌우 별개)-공임,1,"27,273","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251219-0000069
2025/12/19 -12,[카고] 유성기어,1,"72,727","72,727","7,273","80,000",카페24-니어바이크,본사창고-청담본점,일반-NB-온라인판매,20251219-0000056 김현수
2025/12/19 -12,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01,2,"13,636","27,273","2,727","30,000",카페24-니어바이크,본사창고-청담본점,일반-NB-온라인판매,20251219-0000056 김현수
2025/12/20 -1,수납가방 - X200맥스,1,"109,091","109,091","10,909","120,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251220-0000028 김주선
2025/12/20 -2,"기타 공임-10,000",1,"9,091","9,091",909,"10,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,
2025/12/20 -3,컨트롤러 - X200 프로 / X100 프로(플러그),1,"95,455","95,455","9,545","105,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251220-0000012
2025/12/20 -4,키박스 디스플레이 스로틀 [기종을 적어주세요=x200max],1,"58,182","58,182","5,818","64,000",와이제이(YJ) 모터스,본사창고-청담본점,대리점-XRB-온라인판매,20251220-0000035
2025/12/21 -1,수납가방 - X200맥스,1,"109,091","109,091","10,909","120,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251221-0000029 김주환
2025/12/21 -2,유성기어 - 미니 리어 [기종=미니-리어용],1,"31,818","31,818","3,182","35,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251221-0000010
2025/12/21 -2,브레이크 패드 - 3. XOD 브레이크 패드 [기종=3. XOD 브레이크 패드],1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251221-0000010
2025/12/21 -2,"KTET 프론트 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=프론트 브레이크 세트]",1,"72,727","72,727","7,273","80,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251221-0000010
2025/12/21 -2,"KTET 리어 브레이크 세트(래버, 센서, 캘리퍼, 패드, 로터) [선택=오토바이 리어 브레이크 세트]",1,"72,727","72,727","7,273","80,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251221-0000010
2025/12/21 -2,모터 세트 - 터보 프로,1,"636,364","636,364","63,636","700,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251221-0000010
2025/12/21 -2,컨트롤러 - 터보 프로,1,"227,273","227,273","22,727","250,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251221-0000010
2025/12/21 -2,듀얼 배터리 스위치(셀렉터) - 60V [기종선택=60V(터보프로/X200T)],1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251221-0000010
